compression,Page Size,Cluster Size,Cluster Bunch,throughput_atlas(MB/s),throughput_cms(MB/s),throughput_h1(MB/s),throughput_lhcb(MB/s),size_atlas(MB),size_cms(MB),size_h1(MB),size_lhcb(MB),writing_time_atlas(s),writing_time_cms(s),writing_time_h1(s),writing_time_lhcb(s),processing_time_atlas(s),processing_time_cms(s),processing_time_h1(s),processing_time_lhcb(s),throughput_increase_atlas(%),throughput_increase_cms(%),throughput_increase_h1(%),throughput_increase_lhcb(%),size_decrease_atlas(%),size_decrease_cms(%),size_decrease_h1(%),size_decrease_lhcb(%),performance_atlas(%),performance_cms(%),performance_h1(%),performance_lhcb(%),performance(%),accepted,res_atlas_0,res_atlas_1,res_atlas_2,res_atlas_3,res_atlas_4,res_atlas_5,res_atlas_6,res_atlas_7,res_atlas_8,res_atlas_9,res_atlas_10,res_atlas_11,res_atlas_12,res_atlas_13,res_atlas_14,res_atlas_15,res_atlas_16,res_atlas_17,res_atlas_18,res_atlas_19,res_cms_0,res_cms_1,res_cms_2,res_cms_3,res_cms_4,res_cms_5,res_cms_6,res_cms_7,res_cms_8,res_cms_9,res_cms_10,res_cms_11,res_cms_12,res_cms_13,res_cms_14,res_cms_15,res_cms_16,res_cms_17,res_cms_18,res_cms_19,res_h1_0,res_h1_1,res_h1_2,res_h1_3,res_h1_4,res_h1_5,res_h1_6,res_h1_7,res_h1_8,res_h1_9,res_h1_10,res_h1_11,res_h1_12,res_h1_13,res_h1_14,res_h1_15,res_h1_16,res_h1_17,res_h1_18,res_h1_19,res_lhcb_0,res_lhcb_1,res_lhcb_2,res_lhcb_3,res_lhcb_4,res_lhcb_5,res_lhcb_6,res_lhcb_7,res_lhcb_8,res_lhcb_9,res_lhcb_10,res_lhcb_11,res_lhcb_12,res_lhcb_13,res_lhcb_14,res_lhcb_15,res_lhcb_16,res_lhcb_17,res_lhcb_18,res_lhcb_19
lz4,2097152,209715200,1,1384.779,950.592,1009.959,1262.813,1077687656,3323846761,2258482062,1096479487,74.247,304.473,112.740,38.316,50.691,17.509,20.961,30.731,82.646,96.776,109.838,64.906,1.225,4.066,2.073,0.635,41.935,50.421,55.955,32.770,45.271,False,1357.93,1411.78,1356.70,1357.44,1352.85,1366.36,1397.66,1411.43,1359.02,1354.90,1349.85,1372.49,1393.69,1365.69,1462.49,1417.07,1366.50,1377.51,1427.06,1437.16,960.65,960.91,939.14,965.92,946.83,963.34,964.82,941.03,944.26,932.28,962.45,948.04,947.43,956.18,926.65,950.18,925.26,944.34,956.33,975.80,1010.17,1018.23,1021.05,1005.32,1004.65,1011.48,980.18,1017.62,1031.01,998.25,1045.99,1018.52,1019.95,1003.41,971.47,1014.38,997.90,1001.26,1015.01,1013.33,1202.53,1225.27,1208.31,1185.85,1211.96,1192.01,1208.64,1214.19,1301.40,1305.66,1337.71,1339.91,1296.79,1304.95,1305.50,1308.08,1322.70,1286.92,1297.25,1200.64
zstd,2097152,314572800,1,1171.924,916.250,900.601,1112.756,865816989,2541376185,1769178380,1016304525,68.247,337.617,109.656,25.030,54.410,17.630,22.019,33.328,54.572,89.668,87.117,45.310,20.644,26.650,23.289,7.900,37.608,58.159,55.203,26.605,44.394,False,1163.02,1153.26,1173.21,1188.81,1161.67,1197.22,1166.89,1174.58,1158.71,1176.73,1183.66,1168.51,1179.21,1164.22,1166.11,1160.85,1170.48,1174.99,1186.50,1169.85,918.27,921.46,916.05,913.47,925.53,904.24,919.17,925.61,911.13,899.78,921.86,911.36,899.99,916.68,926.22,927.75,935.13,913.87,911.38,906.05,928.03,904.70,914.91,866.50,874.91,879.92,978.43,876.17,919.50,870.40,879.28,872.59,865.78,878.01,933.92,947.51,879.33,977.92,880.15,884.07,1110.67,1100.08,1119.18,1119.05,1102.98,1102.52,1099.29,1108.77,1127.40,1131.89,1088.95,1127.87,1103.48,1137.54,1084.38,1104.96,1106.48,1178.20,1098.23,1103.20
zlib,2097152,314572800,1,517.485,396.394,365.581,353.179,761625251,2769904212,2074817194,1034361301,74.675,287.135,107.677,40.590,73.932,18.936,32.285,75.672,-31.746,-17.945,-24.044,-53.880,30.193,20.054,10.037,6.264,-0.776,1.055,-7.003,-23.808,-7.633,False,516.33,517.42,513.41,519.98,514.90,515.54,512.07,523.03,522.25,524.83,515.13,519.42,513.88,519.77,517.84,517.26,521.98,513.23,516.11,515.31,399.65,396.18,395.81,394.94,399.10,399.06,394.25,397.61,394.77,399.08,396.38,391.86,396.12,395.31,394.50,400.66,396.11,392.55,401.05,392.86,365.53,373.94,362.03,365.97,367.20,367.52,365.68,364.85,361.55,362.87,365.39,365.98,363.58,364.17,371.62,365.69,364.21,367.19,364.71,361.95,354.37,349.69,353.16,351.47,355.60,352.55,357.94,353.97,349.94,353.65,351.71,354.46,352.70,352.53,353.84,350.39,357.41,352.45,355.40,350.33
zstd,2097152,314572800,1,1168.292,919.213,911.233,1100.476,865816989,2541376185,1769178380,1016304525,67.505,338.411,110.624,24.704,54.502,17.614,21.869,33.780,54.093,90.281,89.326,43.707,20.644,26.650,23.289,7.900,37.368,58.465,56.307,25.804,44.486,False,1186.34,1164.48,1180.25,1175.93,1174.01,1158.63,1181.69,1156.37,1129.93,1167.45,1148.50,1175.37,1157.71,1180.81,1186.34,1180.00,1161.74,1166.40,1164.16,1169.73,923.14,919.73,915.19,909.63,923.49,923.40,932.88,920.48,917.46,919.61,915.86,912.88,921.50,926.25,920.83,919.23,920.99,899.98,915.36,926.37,866.06,937.77,942.93,883.89,984.94,930.36,891.46,917.63,877.59,914.53,918.61,912.93,880.69,885.62,935.58,884.70,928.61,923.02,882.96,924.76,1087.09,1095.18,1086.53,1094.42,1090.75,1129.51,1086.06,1098.29,1105.03,1118.52,1113.48,1097.08,1110.42,1125.65,1084.45,1101.93,1115.61,1085.79,1083.97,1099.76
lz4,1048576,314572800,1,1293.724,1043.260,940.165,1238.884,1078267794,3325031813,2260403126,1096916385,73.016,304.787,112.508,37.582,50.424,17.346,21.630,31.855,70.637,115.959,95.337,61.781,1.171,4.032,1.990,0.595,35.904,59.995,48.663,31.188,43.938,False,1256.22,1255.78,1346.03,1273.51,1282.03,1255.91,1254.38,1332.80,1288.41,1288.21,1284.38,1281.96,1263.88,1373.60,1326.57,1353.24,1284.33,1349.00,1260.94,1263.31,938.88,1051.26,1064.50,1043.72,1038.94,1058.00,1030.99,1027.52,1044.38,1044.54,1054.91,1052.48,1066.69,1047.32,1025.76,1127.12,1028.29,1045.98,1044.34,1029.60,931.16,958.21,949.74,879.32,900.85,964.37,952.93,965.04,926.48,994.08,896.79,960.64,944.42,976.34,916.74,906.80,929.06,966.14,931.05,953.14,1213.22,1214.14,1208.76,1298.09,1231.55,1223.20,1203.58,1224.64,1209.49,1225.45,1218.48,1229.29,1320.32,1214.84,1329.33,1212.50,1333.72,1224.84,1236.26,1205.98
lz4,2097152,209715200,1,1381.879,943.284,1030.278,1232.064,1077687656,3323846761,2258482062,1096479487,75.415,304.134,113.672,37.852,50.811,17.470,20.868,31.123,82.264,95.264,114.059,60.890,1.225,4.066,2.073,0.635,41.744,49.665,58.066,30.763,45.059,False,1347.47,1367.36,1371.39,1375.84,1346.77,1423.46,1413.26,1371.54,1375.59,1379.00,1397.28,1359.72,1366.20,1458.80,1352.19,1377.67,1352.17,1412.59,1345.31,1443.96,921.49,942.32,931.15,955.79,930.02,927.09,934.18,941.76,952.01,941.99,929.48,935.44,949.82,980.42,933.18,953.11,945.03,975.71,948.66,937.06,1017.73,1016.77,1018.85,1015.78,1070.84,1005.05,1013.71,1011.16,1016.20,1058.86,1074.36,1024.70,1039.57,1044.77,1060.69,1003.21,1065.49,1005.48,1007.96,1034.38,1224.80,1239.64,1215.95,1218.63,1205.25,1239.57,1199.38,1213.36,1206.58,1221.15,1230.84,1229.88,1222.04,1226.91,1225.94,1273.95,1303.23,1309.20,1200.80,1234.19
zlib,2097152,314572800,1,469.027,399.394,370.162,354.151,761625251,2769904212,2074817194,1034361301,73.676,286.673,107.485,41.018,74.821,18.959,32.386,75.528,-38.137,-17.324,-23.092,-53.753,30.193,20.054,10.037,6.264,-3.972,1.365,-6.528,-23.744,-8.220,False,511.78,517.65,502.82,430.23,438.20,428.98,424.93,408.05,414.31,418.61,434.00,432.73,426.61,483.66,512.55,518.13,521.47,519.16,516.68,520.00,401.37,399.75,401.67,398.13,400.93,402.45,395.73,411.18,397.21,403.42,399.80,405.73,398.91,356.35,399.20,402.62,401.42,409.22,404.91,397.90,375.29,376.73,364.65,363.42,364.84,374.70,366.63,383.08,358.40,380.79,377.64,364.26,367.22,368.10,373.01,367.83,375.83,360.92,369.63,370.24,351.87,356.50,354.87,356.60,355.06,352.17,354.80,356.67,354.58,355.74,356.52,353.83,353.09,353.70,351.19,357.76,350.88,349.25,357.65,350.30
none,2097152,314572800,1,986.027,767.770,944.837,1052.847,3208803271,8544721955,4667191276,1574379505,51.233,200.964,47.179,11.678,51.017,17.579,22.590,37.682,30.053,58.932,96.307,37.487,-194.103,-146.621,-102.368,-42.673,-82.025,-43.845,-3.030,-2.593,-32.873,False,957.25,958.97,968.47,984.23,955.74,986.25,1044.03,988.10,969.90,975.31,984.53,960.92,1061.91,968.96,974.93,1071.45,980.53,976.65,981.21,971.20,772.74,771.59,760.60,775.16,766.70,763.40,769.10,787.60,753.80,758.36,772.90,768.84,768.28,768.39,768.68,772.44,756.55,772.35,761.06,766.88,940.72,952.70,944.21,927.11,930.80,944.58,949.87,953.38,943.39,939.11,947.97,907.16,951.26,951.62,964.86,954.88,959.79,946.50,947.13,939.68,1060.31,1050.90,1053.64,1055.25,1051.70,1056.83,1052.19,1045.59,1052.15,1055.28,1050.56,1049.86,1045.63,1050.29,1055.81,1050.76,1064.89,1049.24,1053.53,1052.53
lz4,1048576,314572800,1,1264.911,1036.436,938.057,1244.702,1078267794,3325031813,2260403126,1096916385,75.017,302.307,111.792,37.246,50.252,17.393,21.498,32.627,66.836,114.546,94.899,62.541,1.171,4.032,1.990,0.595,34.004,59.289,48.444,31.568,43.326,False,1258.40,1249.37,1270.67,1267.52,1270.66,1290.20,1267.88,1271.12,1269.12,1227.70,1264.00,1266.28,1266.58,1247.82,1269.95,1259.89,1270.43,1260.77,1281.65,1268.23,1043.02,1033.80,1031.61,1027.56,1009.77,1080.23,1019.07,1024.26,1019.88,1067.61,1014.67,1033.44,1036.90,1032.51,1037.49,1088.61,1041.58,1037.33,1026.82,1022.55,954.30,956.48,935.74,937.43,963.07,950.43,955.52,903.80,902.84,956.89,958.15,941.87,885.86,939.61,946.48,912.00,960.04,944.13,932.75,923.73,1315.08,1332.36,1219.67,1312.76,1241.42,1213.75,1228.04,1213.86,1215.53,1228.02,1337.95,1213.53,1212.78,1215.31,1212.60,1208.34,1209.25,1241.99,1293.23,1228.58
lz4,1048576,314572800,1,1274.750,1019.448,939.017,1231.265,1078267794,3325031813,2260403126,1096916385,73.536,303.367,111.163,37.483,50.625,17.420,21.569,31.771,68.134,111.030,95.098,60.786,1.171,4.032,1.990,0.595,34.653,57.531,48.544,30.691,42.855,False,1267.27,1285.91,1274.19,1252.76,1270.57,1259.16,1274.83,1277.61,1280.78,1281.63,1278.95,1276.47,1279.01,1271.80,1278.83,1277.01,1304.43,1276.35,1254.52,1272.90,1061.50,1012.85,993.51,1028.30,1022.95,1009.22,1015.59,1009.34,1013.24,1023.08,1016.27,1018.89,1074.17,1002.61,1041.26,1014.30,972.98,1017.48,1022.19,1019.22,953.37,953.80,964.62,916.01,917.41,978.54,980.89,938.08,950.42,936.19,908.07,935.00,944.84,957.18,942.98,966.01,867.95,934.07,956.73,878.18,1205.07,1216.53,1215.85,1333.02,1200.47,1197.64,1237.26,1198.56,1231.89,1191.13,1199.36,1216.94,1225.97,1317.92,1316.35,1199.69,1200.13,1316.96,1203.88,1200.69
lz4,2097152,419430400,1,1365.012,1058.303,1009.737,1228.230,1077683002,3317583493,2257749485,1096480197,75.712,303.073,113.146,37.825,50.954,17.345,21.119,32.024,80.039,119.073,109.792,60.390,1.225,4.247,2.105,0.635,40.632,61.660,55.948,30.512,47.188,False,1356.16,1341.35,1381.18,1349.27,1470.49,1387.10,1369.80,1349.03,1332.61,1360.85,1363.62,1356.13,1350.93,1359.18,1345.42,1370.44,1360.01,1369.53,1356.98,1370.15,1122.12,1058.76,1049.41,1088.21,1063.83,1038.89,1062.28,1054.03,1042.37,1049.17,1027.59,1056.04,1060.03,1045.74,1061.36,1055.97,1055.48,1064.46,1051.78,1058.54,976.63,973.70,1049.16,975.70,1021.31,1072.77,959.91,1016.58,1082.68,969.72,990.40,1013.30,1063.90,981.12,1003.42,1056.81,994.82,993.26,1003.05,996.52,1211.13,1215.46,1245.98,1215.79,1213.16,1217.86,1245.07,1220.13,1216.85,1211.29,1218.84,1218.63,1213.16,1328.64,1227.17,1232.72,1226.44,1238.58,1230.27,1217.43
lz4,2097152,314572800,2,1033.721,1053.620,1014.232,1243.675,1077683002,3319719479,2257959109,1096480623,75.748,303.887,114.009,38.424,51.347,17.527,21.632,35.020,36.343,118.104,110.725,62.407,1.225,4.185,2.096,0.635,18.784,61.144,56.411,31.521,41.965,False,1434.97,1292.95,1183.55,1097.46,1105.51,1065.00,1053.26,1021.08,922.04,965.69,882.78,876.68,953.07,1085.58,935.89,1038.86,945.26,930.13,845.87,1038.79,1052.85,1042.57,1050.19,1110.98,1055.32,1036.31,1076.09,1050.49,1042.54,1071.23,1052.19,1043.60,1105.66,1043.39,1038.30,1044.76,1039.81,1032.23,1044.99,1038.91,1038.73,1083.80,1064.76,1029.04,982.32,1038.17,951.77,1040.32,994.04,967.15,971.36,1031.27,1073.43,1024.18,1024.61,980.44,1004.79,967.08,1023.47,993.93,1352.63,1244.17,1215.55,1233.23,1347.21,1229.48,1254.68,1212.60,1219.41,1220.27,1216.43,1219.14,1218.11,1236.42,1222.47,1220.59,1206.88,1361.80,1210.51,1231.92
lz4,2097152,419430400,1,1385.709,1057.984,1034.274,1212.086,1077683002,3317583493,2257749485,1096480197,75.318,306.349,114.091,38.109,50.907,17.377,21.025,32.591,82.769,119.007,114.890,58.282,1.225,4.247,2.105,0.635,41.997,61.627,58.497,29.458,47.895,True,1370.08,1379.46,1405.08,1374.77,1420.50,1408.16,1334.18,1351.80,1460.10,1391.41,1389.76,1425.91,1391.52,1368.40,1367.30,1412.51,1354.69,1405.60,1350.88,1352.08,1039.32,1132.86,1060.39,1051.52,1054.89,1069.74,1041.47,1057.61,1050.14,1049.67,1059.51,1050.67,1038.94,1056.39,1033.18,1065.93,1062.33,1059.37,1066.84,1058.88,1078.40,1086.01,1009.61,1006.18,1055.17,1044.76,1046.99,1000.33,1045.39,1027.32,1047.80,1055.62,1026.82,999.55,1032.31,1006.78,1018.02,1001.65,1047.65,1049.12,1197.55,1198.35,1204.04,1190.83,1203.19,1202.87,1320.27,1195.30,1198.62,1234.56,1193.22,1209.85,1193.42,1197.19,1205.76,1194.93,1206.24,1195.65,1186.72,1313.16
lz4,2097152,419430400,2,1260.688,1038.520,1022.120,1265.376,1077683002,3317583493,2257749485,1096480197,75.195,307.448,113.432,37.835,51.595,17.558,21.661,34.582,66.279,114.978,112.364,65.240,1.225,4.247,2.105,0.635,33.752,59.612,57.235,32.938,45.884,True,1433.46,1398.90,1416.98,1404.92,1413.40,1421.24,1418.40,1414.68,1401.91,1178.53,1046.91,986.13,1071.88,1057.23,1027.14,999.16,957.14,1411.67,1379.58,1374.50,1038.38,1049.76,1046.70,1051.20,1087.96,1055.07,1054.42,1048.57,1037.72,998.85,972.64,1018.48,1042.25,1037.65,1099.17,966.09,1003.83,1089.53,1112.53,959.60,974.65,1064.80,1048.03,1005.06,1003.10,968.51,995.43,1029.36,1003.42,1005.26,1023.80,1084.30,1045.13,1004.80,1003.86,988.70,1047.21,1080.01,1030.10,1036.87,1232.23,1230.58,1353.65,1347.71,1227.11,1243.65,1234.29,1355.81,1230.65,1241.15,1249.27,1228.51,1245.62,1353.82,1225.52,1239.70,1259.84,1244.78,1283.87,1279.76
lz4,1048576,419430400,2,1215.765,1059.985,913.388,1253.476,1078267794,3323400120,2260005275,1096904720,74.419,303.239,110.989,36.968,51.230,17.611,22.042,35.196,60.354,119.421,89.773,63.686,1.171,4.079,2.007,0.596,30.763,61.750,45.890,32.141,42.636,False,1221.85,1192.56,1289.94,1182.99,1192.09,1197.49,1194.40,1187.12,1232.33,1213.24,1193.52,1212.39,1274.06,1213.93,1176.45,1206.84,1209.33,1230.82,1264.85,1229.12,1079.54,1082.84,990.56,976.67,1051.26,1068.58,1080.16,1090.91,1079.50,1082.24,976.54,1085.32,1094.41,1072.07,1055.29,1054.95,1074.14,1087.02,1040.23,1077.47,885.85,938.35,948.32,934.22,916.51,907.06,870.23,873.84,938.24,931.30,956.44,883.87,912.38,916.86,914.29,904.47,917.54,913.68,943.61,860.72,1227.09,1345.71,1347.36,1249.67,1229.89,1231.32,1248.64,1233.37,1383.80,1234.03,1232.21,1229.86,1257.79,1236.25,1228.43,1221.10,1242.10,1223.51,1221.15,1246.24
lz4,2097152,524288000,2,958.732,1053.450,991.464,1259.877,1077683002,3315830601,2257749485,1096480197,74.464,313.387,114.319,38.921,51.489,17.472,21.880,34.634,26.453,118.069,105.995,64.522,1.225,4.297,2.105,0.635,13.839,61.183,54.050,32.579,40.413,False,1060.32,1025.93,999.67,1078.77,900.60,1021.24,873.22,1009.81,1057.86,872.89,909.46,944.51,942.09,950.07,864.44,938.99,935.18,867.65,859.15,1062.81,1064.43,1066.63,958.44,1059.96,1073.93,1054.34,1046.14,1091.95,1062.17,1053.64,1068.97,1055.95,949.05,1051.65,1042.97,1116.37,1048.65,1071.31,1068.86,1063.61,974.67,947.25,975.04,923.59,1023.59,952.03,985.31,1032.44,1021.21,1005.22,991.36,1034.15,1041.47,989.53,997.62,1024.65,955.94,987.84,992.51,973.85,1257.10,1250.12,1364.93,1368.75,1253.36,1254.87,1225.41,1271.84,1272.28,1255.25,1242.17,1246.62,1263.08,1234.95,1242.14,1242.75,1238.44,1227.38,1235.40,1250.69
zstd,2097152,419430400,2,1142.462,983.653,911.840,1142.228,865816989,2538452919,1769178380,1016177597,69.651,337.434,110.796,24.908,55.129,17.230,22.384,36.193,50.686,103.620,89.452,49.159,20.644,26.734,23.289,7.912,35.665,65.177,56.370,28.536,46.437,True,1165.40,1135.39,1143.21,1140.26,1142.32,1160.07,1142.65,1149.54,1131.61,1129.47,1136.25,1136.72,1186.70,1142.58,1128.61,1114.04,1138.81,1135.06,1148.14,1142.40,993.07,981.39,915.12,989.97,987.30,992.19,1020.91,986.50,998.69,962.82,976.98,988.20,986.26,998.05,974.35,1007.92,986.11,952.87,985.21,989.13,908.07,943.41,915.56,913.18,937.94,910.95,902.08,850.46,893.49,916.14,881.19,879.59,927.01,907.04,906.22,918.71,978.29,912.30,886.45,948.72,1239.02,1229.70,1133.98,1118.12,1165.90,1118.73,1153.29,1123.33,1137.71,1122.40,1119.75,1132.40,1148.28,1140.28,1117.55,1147.11,1125.86,1115.88,1124.74,1130.54
zstd,2097152,314572800,2,1144.015,911.121,895.232,1138.417,865816989,2541376185,1769178380,1016304525,66.745,339.123,111.378,24.927,55.354,17.739,22.604,35.947,50.891,88.606,86.001,48.661,20.644,26.650,23.289,7.900,35.767,57.628,54.645,28.281,44.080,False,1123.47,1137.19,1172.37,1132.44,1149.69,1137.93,1140.86,1148.40,1136.76,1147.45,1204.01,1152.48,1123.58,1124.41,1140.49,1134.28,1142.29,1159.42,1146.81,1125.98,908.98,939.91,906.03,900.71,915.95,907.29,909.22,908.91,912.98,908.82,904.40,904.20,895.48,914.11,925.62,921.33,907.22,904.29,929.92,897.02,860.96,933.18,934.66,841.30,870.76,915.68,878.31,893.93,951.82,950.76,901.63,897.32,878.71,879.03,866.60,843.21,844.57,949.02,858.50,954.70,1126.11,1154.78,1138.33,1152.64,1143.96,1130.94,1130.34,1150.69,1131.44,1137.84,1133.92,1138.62,1126.97,1160.74,1129.39,1138.08,1133.30,1130.88,1147.20,1132.17
zstd,4194304,419430400,2,1154.269,930.935,1053.233,1143.503,865816989,2540501135,1546622273,1016158848,68.828,353.681,110.497,26.210,54.781,17.870,21.835,36.127,52.243,92.707,118.829,49.326,20.644,26.675,32.939,7.914,36.443,59.691,75.884,28.620,50.160,True,1034.89,1164.63,1187.23,1142.22,1184.56,1165.88,1139.37,1142.87,1135.64,1137.20,1177.00,1189.98,1160.01,1190.37,1144.74,1154.22,1167.36,1121.49,1161.37,1184.36,925.48,932.34,948.32,851.42,917.31,849.92,951.21,948.28,926.38,978.29,932.29,882.86,949.33,909.60,951.15,941.53,951.77,969.46,956.06,945.73,1027.82,1006.88,1074.10,1013.58,1058.40,1077.86,1186.61,989.01,1083.37,1004.76,1059.97,1051.66,1054.08,1133.50,981.23,1035.85,1003.52,1034.82,1115.06,1072.58,1132.21,1123.40,1201.20,1216.89,1134.75,1139.59,1134.57,1139.38,1129.06,1127.65,1137.90,1135.04,1133.76,1135.36,1164.03,1148.26,1119.83,1134.68,1130.25,1152.25
zstd,4194304,419430400,1,1173.686,929.643,1095.059,1118.796,865816989,2540501135,1546622273,1016158848,68.785,348.689,110.153,25.862,54.453,17.571,21.188,34.121,54.804,92.440,127.519,46.099,20.644,26.675,32.939,7.914,37.724,59.558,80.229,27.006,51.129,True,1206.17,1150.82,1157.26,1176.04,1147.26,1143.41,1192.32,1210.18,1162.37,1161.36,1190.49,1152.22,1210.85,1155.33,1176.03,1212.54,1156.56,1170.62,1186.10,1155.80,924.29,936.05,930.45,935.52,935.00,939.60,929.43,936.63,926.11,921.53,932.84,935.68,920.83,929.59,925.99,923.24,931.41,923.82,927.93,926.91,1179.69,1102.13,1054.89,1103.30,1031.46,1004.23,1095.81,1159.76,1051.03,1015.70,1048.55,1180.36,1126.42,1073.70,1052.97,1120.76,1146.06,1160.13,1036.54,1157.68,1119.82,1175.47,1167.52,1165.07,1076.84,1081.24,1114.00,1148.96,1089.12,1109.56,1099.78,1097.74,1101.18,1107.99,1128.01,1103.45,1142.76,1105.95,1090.01,1151.45
zstd,2097152,419430400,1,1175.355,955.793,896.974,1122.738,865816989,2538452919,1769178380,1016177597,67.599,350.786,112.383,24.628,54.417,17.684,22.231,33.494,55.024,97.853,86.363,46.614,20.644,26.734,23.289,7.912,37.834,62.294,54.826,27.263,45.554,False,1180.37,1214.00,1177.75,1174.90,1151.66,1162.27,1173.80,1179.60,1151.24,1208.10,1192.98,1172.84,1174.70,1161.70,1171.48,1158.97,1196.44,1159.69,1164.77,1179.84,943.57,998.44,965.70,995.67,981.99,950.03,939.44,958.13,929.53,951.98,997.54,937.64,940.09,946.01,972.95,939.82,932.32,941.01,959.33,934.67,921.18,859.60,859.18,894.49,893.50,935.58,918.59,934.88,873.31,874.85,880.02,889.19,886.11,881.63,871.68,892.03,934.05,885.30,899.16,955.13,1095.26,1126.10,1118.20,1140.36,1113.41,1101.91,1153.89,1128.98,1127.20,1093.36,1136.22,1145.23,1135.57,1123.48,1143.49,1130.96,1100.80,1138.86,1092.06,1109.44
zstd,4194304,419430400,2,1149.110,937.259,1077.108,1142.510,865816989,2540501135,1546622273,1016158848,66.921,352.220,109.811,26.193,54.842,17.598,22.060,36.191,51.563,94.017,123.789,49.196,20.644,26.675,32.939,7.914,36.103,60.346,78.364,28.555,50.842,True,1161.59,1123.22,1138.14,1161.21,1151.25,1130.59,1192.14,1164.59,1126.65,1124.60,1155.16,1148.75,1165.78,1128.58,1159.74,1178.01,1160.65,1135.98,1151.08,1124.47,940.71,946.09,933.15,931.50,933.45,946.57,941.41,945.11,931.66,941.71,926.70,935.32,930.53,866.55,937.09,926.52,972.77,936.92,960.30,961.12,1089.50,1089.64,1161.42,1090.50,1071.71,1026.62,1056.02,1039.67,1090.93,1012.32,1112.53,1097.73,1058.05,1016.52,1106.13,1078.24,1070.86,1044.19,1115.35,1114.22,1136.70,1206.42,1125.27,1218.73,1125.88,1126.69,1131.40,1140.53,1140.14,1158.86,1127.84,1127.61,1140.75,1142.91,1130.63,1126.47,1132.19,1132.09,1115.01,1164.10
zstd,8388608,419430400,2,1148.952,948.027,1075.756,1106.790,865816989,2542270434,1394823505,1016176582,69.163,360.163,103.203,27.918,54.947,17.745,21.907,37.129,51.542,96.246,123.508,44.531,20.644,26.624,39.521,7.912,36.093,61.435,81.515,26.222,51.316,True,1154.42,1168.49,1144.55,1180.95,1132.00,1170.79,1135.34,1148.90,1114.30,1130.19,1134.08,1126.88,1152.99,1176.25,1163.49,1148.52,1119.80,1141.42,1171.73,1163.95,960.79,962.18,951.51,963.67,957.37,973.80,971.75,949.41,955.41,986.38,935.74,966.31,969.33,855.47,934.20,962.48,971.01,865.38,875.61,992.76,1085.13,1086.14,1002.52,1110.99,1010.04,1124.83,1102.12,1089.84,1088.93,1074.21,1088.15,1090.14,1092.19,1028.99,1086.32,1089.54,1029.20,1069.33,1123.45,1043.09,1102.80,1165.71,1112.35,1092.88,1095.26,1092.73,1094.99,1098.67,1110.11,1091.59,1099.06,1119.91,1123.65,1106.13,1124.32,1120.82,1097.31,1099.65,1091.74,1096.11
lz4,8388608,419430400,2,1064.487,1011.224,1072.863,1212.488,1077683002,3313967300,2256854820,1096182190,75.275,309.952,115.333,40.344,51.724,17.575,21.463,35.606,40.401,109.328,122.907,58.334,1.225,4.351,2.144,0.662,20.813,56.839,62.525,29.498,42.419,False,1455.56,1498.31,1411.77,1432.69,1253.82,1051.94,956.52,1037.46,997.38,982.59,937.56,885.45,878.35,866.08,951.00,948.55,943.62,931.44,933.39,936.27,1030.51,1036.02,1006.31,993.95,1068.53,1092.20,1021.51,934.44,995.78,922.35,998.19,1011.41,1072.16,939.76,1052.20,1029.90,1003.60,936.39,1040.27,1039.00,1146.87,1121.09,1046.88,1146.75,1087.11,1045.64,1087.11,1041.76,1064.95,1010.88,1097.05,996.96,1102.18,1084.47,1090.52,1105.17,1009.99,1042.44,1090.74,1038.70,1196.96,1195.69,1203.27,1190.42,1200.27,1189.40,1196.04,1189.43,1277.00,1202.35,1276.20,1286.09,1203.15,1196.88,1203.40,1224.17,1187.03,1212.22,1198.97,1220.81
